Department,Level,Home Fee,Overseas Fee
Accounting,Postgraduate,30360.0,30960.0
Anthropology,Postgraduate,15216.0,23520.0
Department not found,Postgraduate,23232.894736842107,26075.0
Department not found,Undergraduate,9250.0,22430.0
Economic History,Postgraduate,15216.0,23520.0
Economics,Postgraduate,26940.0,27240.0
European Institute,Postgraduate,23520.0,23520.0
Finance,Postgraduate,38448.0,38448.0
Gender Studies,Postgraduate,15216.0,23520.0
Geography and Environment,Postgraduate,17979.0,24156.0
Government,Postgraduate,15216.0,23520.0
Health Policy,Postgraduate,20394.666666666668,25658.666666666668
International Development,Postgraduate,17984.0,23520.0
International History,Postgraduate,15216.0,23520.0
Management,Postgraduate,29076.0,29526.0
Mathematics,Postgraduate,30360.0,30960.0
Media and Communications,Postgraduate,23520.0,23520.0
Methodology,Postgraduate,30360.0,30960.0
Psychological and Behavioural Science,Postgraduate,18688.0,23520.0
Social Policy,Postgraduate,15216.0,23520.0
Sociology,Postgraduate,18667.2,25348.8
Statistics,Postgraduate,30360.0,30960.0
