Department,Level,Home Fee,Overseas Fee
Accounting,Postgraduate,35472.0,36168.0
Accounting,Undergraduate,9250.0,27192.0
Anthropology,Postgraduate,17424.0,27480.0
Anthropology,Undergraduate,9250.0,26184.0
Department not found,Postgraduate,27588.909090909092,30738.909090909092
Department not found,Undergraduate,9250.0,26985.6
Economic History,Postgraduate,22452.0,28476.0
Economic History,Undergraduate,9250.0,26184.0
Economics,Postgraduate,33144.0,33376.0
Economics,Undergraduate,9250.0,28176.0
European Institute,Postgraduate,27480.0,27480.0
Finance,Postgraduate,44928.0,44928.0
Finance,Undergraduate,9250.0,28176.0
Gender Studies,Postgraduate,17424.0,27480.0
Geography and Environment,Postgraduate,21039.0,29259.0
Geography and Environment,Undergraduate,9250.0,26688.0
Government,Postgraduate,27480.0,27480.0
Government,Undergraduate,9250.0,27192.0
Health Policy,Postgraduate,23725.333333333332,30141.333333333332
International Development,Postgraduate,17424.0,27480.0
International History,Postgraduate,17424.0,27480.0
International History,Undergraduate,9250.0,26184.0
International Relations,Undergraduate,9250.0,27192.0
Language Centre,Undergraduate,9250.0,26184.0
Law School,Undergraduate,9250.0,28176.0
Management,Postgraduate,35472.0,36168.0
Management,Undergraduate,9250.0,27192.0
Mathematics,Postgraduate,26448.0,31824.0
Mathematics,Undergraduate,9250.0,27192.0
Media and Communications,Postgraduate,27480.0,27480.0
Methodology,Postgraduate,26448.0,31824.0
Philosophy Logic and Scientific Method,Postgraduate,20776.0,27480.0
"Philosophy, Logic and Scientific Method",Undergraduate,9250.0,27520.0
Psychological and Behavioural Science,Postgraduate,21584.0,27480.0
Psychological and Behavioural Science,Undergraduate,9250.0,26184.0
Social Policy,Undergraduate,9250.0,26184.0
Sociology,Postgraduate,19008.0,28800.0
Sociology,Undergraduate,9250.0,26184.0
Statistics,Postgraduate,35472.0,37992.0
Statistics,Undergraduate,9250.0,27192.0
