Department,Level,Home Fee,Overseas Fee
Accounting,Postgraduate,28056.0,28608.0
Anthropology,Postgraduate,14088.0,21744.0
Department not found,Postgraduate,20906.944444444445,23366.055555555555
Department not found,Undergraduate,9250.0,19920.0
Economic History,Postgraduate,14088.0,21744.0
Economics,Postgraduate,25952.0,26320.0
European Institute,Postgraduate,21744.0,21744.0
Finance,Postgraduate,35568.0,35568.0
Gender Studies,Postgraduate,14088.0,21744.0
Geography and Environment,Postgraduate,15408.0,21970.285714285714
Government,Postgraduate,14088.0,21744.0
Health Policy,Postgraduate,18008.0,25328.0
International Development,Postgraduate,16640.0,21744.0
International History,Postgraduate,14088.0,21744.0
Management,Postgraduate,27519.666666666668,27978.0
Mathematics,Postgraduate,21072.0,25176.0
Media and Communications,Postgraduate,21744.0,21744.0
Methodology,Postgraduate,21072.0,25176.0
Philosophy Logic and Scientific Method,Postgraduate,17916.0,21744.0
Psychological and Behavioural Science,Postgraduate,17280.0,21744.0
Social Policy,Postgraduate,14088.0,21744.0
Sociology,Postgraduate,14856.0,22377.6
Statistics,Postgraduate,28056.0,28608.0
