Department,Level,Fee Difference
Accounting,Postgraduate,624.0
Anthropology,Postgraduate,8640.0
Department not found,Postgraduate,2738.769230769231
Department not found,Undergraduate,14080.0
Economic History,Postgraduate,8640.0
Economics,Postgraduate,312.0
European Institute,Postgraduate,0.0
Finance,Postgraduate,0.0
Gender Studies,Postgraduate,8640.0
Geography and Environment,Postgraduate,6372.0
Government,Postgraduate,0.0
Health Policy,Postgraduate,5472.0
International Development,Postgraduate,5760.0
International History,Postgraduate,8640.0
Management,Postgraduate,499.2
Mathematics,Postgraduate,4632.0
Media and Communications,Postgraduate,0.0
Methodology,Postgraduate,4632.0
Philosophy Logic and Scientific Method,Postgraduate,4320.0
Psychological and Behavioural Science,Postgraduate,5024.0
Sociology,Postgraduate,8496.0
Statistics,Postgraduate,624.0
