Department,Level,Fee Difference
Accounting,Postgraduate,600.0
Anthropology,Postgraduate,8304.0
Department not found,Postgraduate,2842.1052631578946
Department not found,Undergraduate,13180.0
Economic History,Postgraduate,8304.0
Economics,Postgraduate,300.0
European Institute,Postgraduate,0.0
Finance,Postgraduate,0.0
Gender Studies,Postgraduate,8304.0
Geography and Environment,Postgraduate,6177.0
Government,Postgraduate,8304.0
Health Policy,Postgraduate,5264.0
International Development,Postgraduate,5536.0
International History,Postgraduate,8304.0
Management,Postgraduate,450.0
Mathematics,Postgraduate,600.0
Media and Communications,Postgraduate,0.0
Methodology,Postgraduate,600.0
Psychological and Behavioural Science,Postgraduate,4832.0
Social Policy,Postgraduate,8304.0
Sociology,Postgraduate,6681.6
Statistics,Postgraduate,600.0
