Department,Level,Fee Difference
Accounting,Postgraduate,648.0
Accounting,Undergraduate,16406.0
Anthropology,Postgraduate,9480.0
Anthropology,Undergraduate,15470.0
Department not found,Postgraduate,2954.232558139535
Department not found,Undergraduate,15844.4
Economic History,Postgraduate,9480.0
Economic History,Undergraduate,16094.0
Economics,Postgraduate,324.0
Economics,Undergraduate,17342.0
European Institute,Postgraduate,0.0
Finance,Postgraduate,324.0
Finance,Undergraduate,17342.0
Gender Studies,Postgraduate,9480.0
Geography and Environment,Postgraduate,7008.0
Geography and Environment,Undergraduate,16094.0
Government,Postgraduate,0.0
Government,Undergraduate,16172.0
Health Policy,Postgraduate,6048.0
International Development,Postgraduate,9480.0
International History,Postgraduate,9480.0
International History,Undergraduate,15470.0
International Relations,Undergraduate,16406.0
Language Centre,Undergraduate,15470.0
Management,Postgraduate,648.0
Management,Undergraduate,16406.0
Mathematics,Postgraduate,5064.0
Mathematics,Undergraduate,16406.0
Media and Communications,Postgraduate,0.0
Methodology,Postgraduate,5064.0
Philosophy Logic and Scientific Method,Postgraduate,4740.0
"Philosophy, Logic and Scientific Method",Undergraduate,16718.0
Psychological and Behavioural Science,Postgraduate,6534.0
Psychological and Behavioural Science,Undergraduate,15470.0
Sociology,Postgraduate,9754.285714285714
Sociology,Undergraduate,15470.0
Statistics,Undergraduate,16406.0
