Department,Level,Fee Difference
Accounting,Postgraduate,624.0
Anthropology,Postgraduate,8640.0
Department not found,Postgraduate,3217.6
Department not found,Undergraduate,14080.0
Economic History,Postgraduate,8640.0
Economics,Postgraduate,0.0
European Institute,Postgraduate,0.0
Finance,Postgraduate,312.0
Gender Studies,Postgraduate,8640.0
Geography and Environment,Postgraduate,6536.0
Government,Postgraduate,0.0
Health Policy,Postgraduate,5472.0
International Development,Postgraduate,8640.0
International History,Postgraduate,8640.0
Management,Postgraduate,468.0
Media and Communications,Postgraduate,0.0
Methodology,Postgraduate,624.0
Psychological and Behavioural Science,Postgraduate,4320.0
Sociology,Postgraduate,6522.0
Statistics,Postgraduate,624.0
